시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반내용,도로형태_대분류,도로형태,당사자1_대분류,당사자1_차종,당사자2_대분류,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
하남시,2017   ,2017-08-20 01시,야간,일요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승용차,없음,없음,1,0,1,0,0,37.5483182,127.21895045
화성시,2017   ,2017-08-19 23시,야간,토요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.15559754,126.92734284
평택시,2017   ,2017-08-19 11시,주간,토요일,차대차,정면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,화물차,화물차,1,2,4,0,1,36.99305324,127.10943695
광주시,2017   ,2017-08-18 21시,야간,금요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.38666528,127.29242811
안양시,2017   ,2017-08-18 15시,주간,금요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,건설기계,건설기계,이륜차,이륜차,1,0,1,0,0,37.42677028,126.91438838
수원시,2017   ,2017-08-18 01시,야간,금요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,0,3,1,1,37.28624652,126.95025926
양평군,2017   ,2017-08-17 17시,주간,목요일,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,없음,없음,1,0,1,0,0,37.3950693,127.73022431
남양주시,2017   ,2017-08-17 04시,야간,목요일,차대차,기타,중앙선 침범,교차로,교차로내,화물차,화물차,화물차,화물차,1,1,2,0,0,37.67244649,127.1527021
오산시,2017   ,2017-08-17 01시,야간,목요일,차대사람,횡단중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.13782483,127.07350884
평택시,2017   ,2017-08-17 00시,야간,목요일,차량단독,공작물충돌,과속,단일로,기타단일로,승용차,승용차,없음,없음,1,0,2,0,1,36.99365614,127.12022232
안산시,2017   ,2017-08-16 23시,야간,수요일,차대차,정면충돌,신호위반,교차로,교차로내,승용차,승용차,승용차,승용차,3,0,3,0,0,37.31520269,126.83026351
포천시,2017   ,2017-08-15 20시,야간,화요일,차대사람,횡단중,보행자 보호의무 위반,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0,37.78507255,127.22652844
